|====================================================================================|
|    Iteration   |      AUC       |  Time Elapsed  |Encoded subgraph|   Train ratio  |
|                |                |   (hh:mm:ss)   |      (K)       |       %        |
|====================================================================================|
|              2 |         0.3995 |       00:00:01 |             13 |            90% |
|              3 |         0.8170 |       00:00:01 |             13 |            90% |
|              4 |         0.4691 |       00:00:01 |             13 |            90% |
|              5 |         0.0000 |       00:00:01 |             13 |            90% |
|              6 |         0.5284 |       00:00:01 |             13 |            90% |
|              7 |         0.5515 |       00:00:01 |             13 |            90% |
|              8 |         0.0567 |       00:00:01 |             13 |            90% |
|              9 |         0.7809 |       00:00:01 |             13 |            90% |
|             10 |         0.7887 |       00:00:01 |             13 |            90% |
|             11 |         0.2500 |       00:00:01 |             13 |            90% |
|             12 |         0.8402 |       00:00:01 |             13 |            90% |
|             13 |         0.6443 |       00:00:01 |             13 |            90% |
|             14 |         0.9562 |       00:00:01 |             13 |            90% |
|             15 |         0.9459 |       00:00:01 |             13 |            90% |
|             16 |         0.5464 |       00:00:01 |             13 |            90% |
|             17 |         0.7655 |       00:00:01 |             13 |            90% |
|             18 |         0.8918 |       00:00:01 |             13 |            90% |
|             19 |         0.6211 |       00:00:01 |             13 |            90% |
|             20 |         0.5619 |       00:00:01 |             13 |            90% |
|             21 |         0.6289 |       00:00:01 |             13 |            90% |
|             22 |         0.0103 |       00:00:01 |             13 |            90% |
|             23 |         0.4794 |       00:00:01 |             13 |            90% |
|             24 |         0.8402 |       00:00:01 |             13 |            90% |
|             25 |         0.1495 |       00:00:01 |             13 |            90% |
|             26 |         0.5979 |       00:00:01 |             13 |            90% |
|             27 |         0.3608 |       00:00:01 |             13 |            90% |
|             28 |         0.5722 |       00:00:01 |             13 |            90% |
|             29 |         0.0258 |       00:00:01 |             13 |            90% |
|             30 |         0.9613 |       00:00:01 |             13 |            90% |
|             31 |         0.7887 |       00:00:01 |             13 |            90% |
|             32 |         0.6263 |       00:00:01 |             13 |            90% |
|             33 |         0.5000 |       00:00:01 |             13 |            90% |
|             34 |         0.4897 |       00:00:01 |             13 |            90% |
|             35 |         0.0103 |       00:00:01 |             13 |            90% |
|             36 |         0.9098 |       00:00:01 |             13 |            90% |
|             37 |         0.9124 |       00:00:01 |             13 |            90% |
|             38 |         0.5851 |       00:00:01 |             13 |            90% |
|             39 |         0.5000 |       00:00:01 |             13 |            90% |
|             40 |         0.9536 |       00:00:01 |             13 |            90% |
|             41 |         0.7371 |       00:00:01 |             13 |            90% |
|             42 |         0.8273 |       00:00:01 |             13 |            90% |
|             43 |         0.8737 |       00:00:01 |             13 |            90% |
|             44 |         0.5387 |       00:00:01 |             13 |            90% |
|             45 |         0.7706 |       00:00:01 |             13 |            90% |
|             46 |         0.8119 |       00:00:01 |             13 |            90% |
|             47 |         0.9046 |       00:00:01 |             13 |            90% |
|             48 |         0.2139 |       00:00:01 |             13 |            90% |
|             49 |         0.4485 |       00:00:01 |             13 |            90% |
|             50 |         0.8325 |       00:00:01 |             13 |            90% |
|              1 |         0.6160 |       00:00:01 |             14 |            90% |
|              2 |         0.9768 |       00:00:01 |             14 |            90% |
|              3 |         0.7603 |       00:00:01 |             14 |            90% |
|              4 |         0.9381 |       00:00:01 |             14 |            90% |
|              5 |         0.5412 |       00:00:01 |             14 |            90% |
|              6 |         0.6675 |       00:00:01 |             14 |            90% |
|              7 |         0.0155 |       00:00:01 |             14 |            90% |
|              8 |         0.5000 |       00:00:01 |             14 |            90% |
|              9 |         0.5490 |       00:00:01 |             14 |            90% |
|             10 |         0.4536 |       00:00:01 |             14 |            90% |
|             11 |         0.8711 |       00:00:01 |             14 |            90% |
|             12 |         0.7938 |       00:00:01 |             14 |            90% |
|             13 |         0.5747 |       00:00:01 |             14 |            90% |
|             14 |         0.6366 |       00:00:01 |             14 |            90% |
